User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,"['Emotional State', 'Age', 'Mental Health Status', 'Profession']",4
How can I make friends in a new state when I'm exhausted from working 2 jobs?,"['Age', 'Emotional State', 'Profession', 'Mental Health Status', 'Economic Status']",5
Does anyone have any tips that I could use to maintain better social skills?,"['Emotional State', 'Marital Status', 'Profession', 'Age', 'Education Level', 'Gender']",6
"Is there anything I can do to help catch on quicker, or to improve my common sense?",['Education Level'],1
How do I overcome social anxiety of approaching my coursemates?,"['Emotional State', 'Age', 'Education Level', 'Profession', 'Marital Status', 'Mental Health Status']",6
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,"['Profession', 'Economic Status']",2
Why do I care all of a sudden about being a virgin and wanting a relationship?,"['Marital Status', 'Emotional State', 'Mental Health Status', 'Age', 'Education Level', 'Profession', 'Past Self-Harm History', 'Gender', 'Economic Status']",9
How can I find my natural voice and stop being self-conscious about it?,['Emotional State'],1
How can adopting a 'yes' mentality improve my life?,['Emotional State'],1
How do you act around people who are +10 years older than you?,['Age'],1
How can I improve my financial situation and social life?,"['Economic Status', 'Profession']",2
How can I stop feeling lonely and have a birthday where I feel cared for?,['Emotional State'],1
How can I feel more valuable and contribute socially on this trip with friends?,['Emotional State'],1
"Where can I go to refine my social skills with in-person classes, books, and instructors?",['Education Level'],1
How can I improve my social skills as an introvert?,"['Age', 'Education Level', 'Profession']",3
How can I set myself free from all those negative thoughts about approaching women?,"['Emotional State', 'Mental Health Status', 'Profession', 'Age', 'Marital Status', 'Economic Status']",6
How can I make new friends after moving back home to a town where I know no one?,['Age'],1
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,['Emotional State'],1
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?","['Emotional State', 'Age', 'Mental Health Status']",3
What are some suggestions or tips to become more social?,"['Emotional State', 'Age', 'Profession', 'Education Level']",4
How do I meet new people and make friends?,"['Profession', 'Age', 'Emotional State', 'Education Level']",4
How can I overcome my inability to build real friendships and feel more socially secure?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level', 'Marital Status', 'Past Self-Harm History', 'Economic Status']",8
How can I overcome my shyness and improve my social skills to meet people and approach girls?,"['Emotional State', 'Age', 'Profession', 'Education Level', 'Marital Status', 'Mental Health Status']",6
Is there anything I can do to stop feeling intimidated by people easily?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level']",5
"How should I behave on my date at the cinema, and what tips can you give me?",['Age'],1
How do I handle this type of person?,"['Age', 'Education Level', 'Mental Health Status', 'Emotional State', 'Profession', 'Marital Status', 'Gender', 'Economic Status', 'Health Status', 'Past Self-Harm History']",10
How can I improve my friendships with other men without letting my hangups get in the way?,['Emotional State'],1
How can I make my social skills better for people wanting to spend time with me?,['Emotional State'],1
Any advice on getting 'me' back?,"['Mental Health Status', 'Emotional State', 'Profession', 'Age', 'Education Level', 'Marital Status', 'Economic Status', 'Health Status', 'Gender', 'Past Self-Harm History']",10
How should I talk to new people outside of niche communities?,"['Emotional State', 'Age', 'Profession', 'Mental Health Status', 'Marital Status', 'Education Level', 'Economic Status']",7
How can I enjoy going to night clubs?,['Age'],1
Does anyone have advice on how to handle being at school alone when I'm struggling with social anxiety and language barriers?,"['Age', 'Mental Health Status']",2
How can I feel less overwhelmed as the new RA and make friends?,['Emotional State'],1
What should I do to stay mindful of the progress of relationships in my life?,['Marital Status'],1
How do I catch up and improve my social maturity?,"['Emotional State', 'Marital Status', 'Age', 'Education Level', 'Profession']",5
What do I do?,"['Age', 'Marital Status', 'Mental Health Status', 'Emotional State', 'Past Self-Harm History', 'Profession', 'Economic Status', 'Education Level']",8
What tips or advice can you offer to improve socially and form friendships while studying abroad?,['Age'],1
"Is there a better alternative to David Carnegie Training that would be affordable to a millennial intern? And if not, where would be the best thing to do to improve my social networking skills?","['Age', 'Profession', 'Education Level', 'Economic Status', 'Marital Status', 'Mental Health Status', 'Emotional State']",7
What can I do to develop meaningful relationships and improve my social skills as a college student who feels isolated?,"['Marital Status', 'Education Level', 'Profession', 'Age', 'Mental Health Status', 'Emotional State']",6
"How can I cope with feeling awkward and unconfident around others, especially my crush, while going on a group trip abroad?",['Emotional State'],1
"How can I be more normal in terms of conversation, relationships, music, movies, hobbies, drinking, sports consumption, food, gym, vehicle use, club behavior, politics, everyday habits, and general social interactions?","['Emotional State', 'Profession', 'Marital Status', 'Age', 'Education Level', 'Mental Health Status', 'Economic Status', 'Health Status']",8
Anything I could do to get over this fear?,"['Emotional State', 'Health Status', 'Mental Health Status', 'Age', 'Profession', 'Past Self-Harm History', 'Economic Status', 'Marital Status', 'Education Level']",9
How does one introduce yourself to a new school when friend groups are already established?,"['Age', 'Profession', 'Education Level', 'Emotional State', 'Mental Health Status', 'Marital Status', 'Economic Status']",7
What do people my age talk about?,['Age'],1
"Are there ways to better control, or just completely stop stuttering?","['Emotional State', 'Health Status', 'Profession', 'Mental Health Status', 'Education Level', 'Age', 'Past Self-Harm History', 'Gender', 'Economic Status']",9
"How can I come up with a strategy to meet new people and potentially get a girlfriend, considering my social and sensory challenges?","['Emotional State', 'Profession', 'Age', 'Marital Status', 'Mental Health Status', 'Education Level', 'Gender']",7
How can I be accepted by my coworkers and make genuine friends at work?,['Profession'],1
Any tips for being less anxious and maybe even saying something to him?,"['Emotional State', 'Health Status', 'Mental Health Status', 'Profession', 'Age', 'Education Level', 'Past Self-Harm History', 'Marital Status', 'Gender']",9
Do you think I'm losing a big part of the awesome life studying can offer?,"['Education Level', 'Emotional State', 'Profession', 'Age', 'Mental Health Status', 'Marital Status', 'Economic Status', 'Health Status', 'Gender']",9
How can I branch out and overcome my anxiety to make new friends after losing contact with my best friend?,['Emotional State'],1
How can I quickly kickstart my social life when I'm a natural introvert with no social media presence?,"['Age', 'Profession', 'Education Level', 'Marital Status', 'Mental Health Status', 'Emotional State']",6
How can I make genuine friends in college?,"['Age', 'Education Level', 'Profession', 'Emotional State', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
What am I missing socially that I need to drastically improve on?,"['Marital Status', 'Emotional State', 'Profession', 'Economic Status', 'Age', 'Mental Health Status', 'Education Level', 'Health Status', 'Past Self-Harm History']",9
"What suggestions, tips, or mental exercises can help me improve my social interactions?",['Emotional State'],1
Any advice?,"['Age', 'Education Level', 'Emotional State', 'Health Status', 'Profession', 'Mental Health Status', 'Marital Status', 'Past Self-Harm History', 'Economic Status', 'Gender']",10
"What are my choices for having a normal social life without drinking, considering my bad experiences with Meetup?","['Age', 'Mental Health Status', 'Profession', 'Emotional State', 'Marital Status', 'Education Level', 'Past Self-Harm History', 'Economic Status']",8
How can I become a better conversationalist and make friends in my own area?,['Profession'],1
Anyone else feel the same or similar or am I just super fucking weird?,"['Emotional State', 'Mental Health Status', 'Age', 'Past Self-Harm History', 'Marital Status', 'Profession', 'Economic Status', 'Gender', 'Education Level']",9
Is starting at a new school in another city a good option?,"['Age', 'Education Level', 'Profession', 'Economic Status', 'Emotional State', 'Mental Health Status', 'Health Status', 'Marital Status']",8
What steps can I take to not become so overwhelmed and enjoy myself when out with people?,['Emotional State'],1
Why can't someone ever look at me longer than 2 seconds?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Past Self-Harm History']",5
How can I make new friends as a 20-year-old?,"['Age', 'Profession', 'Education Level']",3
